"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
5170,51.6395188555977,21.3271578947368,22319.7499831524,3351.72424878802,35.6556842105263,0.000442135064153138,135.826992423395,NA,-30.0005877192982,153.597,"NorthSolitary",482,0.55502614008659,0.00945092935914427,0.146321051952113
5190,32.2761903454234,21.3444,22404.7999788776,4364.57047479912,35.65275,0.00043999640375419,183.6958961069,-1.14177080378471,-30.0005,153.597683333333,"NorthSolitary",526,0.552341411996864,0.0127816784182287,0.190537316255258
5210,13.4021015151347,21.3416111111111,22481.3,4625.40611386178,35.6529444444445,0.000439786214127328,158.970844467455,-1.03331446884996,-30.000462962963,153.598333333333,"NorthSolitary",526,0.552077554305535,0.0110612934470501,0.201924215135155
5230,3.90178063425988,21.3376428571429,22563.3000145845,4007.87079629003,35.6483571428572,0.000551965874362528,6779.8873515431,NA,-30.0003333333333,153.599035714286,"NorthSolitary",526,0.69290023240691,0.471748915875671,0.174965428976851
5250,21.8489836314461,21.34616,22629.8499811407,4301.69940757902,35.65332,0.000440887151484969,162.960760057002,-1.18065161830138,-30.0003333333333,153.599673333333,"NorthSolitary",526,0.553459595816445,0.0113389143360426,0.187792651118702
5270,44.192297903087,21.33755,22720,4130.32642479699,35.6519,0.000438784785332684,140.730683078777,-1.20251168150797,-30.0002,153.60045,"NorthSolitary",561,0.550820429043309,0.00979213130403199,0.180311285333344
5290,64.050936057119,21.184,22800,2132.2374883864,35.6616,0.000444477812579466,91.6082546485396,NA,-30.0001666666667,153.601125,"NorthSolitary",561,0.557967066336692,0.00637416118807269,0.0930838008005116
5310,82.9203909333554,20.6848888888889,22865.5,497.409231931775,35.6767222222222,0.000454353272051111,21.2973827269024,NA,-30.0001388888889,153.601731481481,"NorthSolitary",561,0.57036404318047,0.00148188556703951,0.0217146270589735
5330,100.7843618747,20.0012777777778,22952.3,236.193091736192,35.6692777777778,0.000450595756266058,9.85247320952154,NA,-30,153.602444444444,"NorthSolitary",561,0.565647114686036,0.000685541413048408,0.010311117228441
5350,116.178393289996,19.6949230769231,23018.1499791291,293.615476554457,35.6580769230769,0.00043648904424233,11.369382455761,NA,-30,153.603051282051,"NorthSolitary",586,0.547938512589888,0.000791088932541102,0.0128179176477313
